ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Antibióticos de México, S.A. de C.V.",Las Flores No. 56,La Candelaria,04380,Coyoacan,Ciudad de México,09004020033,31-ene.-11,"SÓLIDOS ORALES BETALACTÁMICOS: Tabletas,
Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir.",Vigente,Vigente,Ninguna,Betalactámicos: Sólidos.,CAS/SELS/17067/2021,27-sep.-21,27-mar.-24,Vigente
"Antibióticos de Puebla, S.A. de C.V.",21 Poniente No. 2304,Los Volcanes,72410,Puebla,Puebla,21114020001,06-nov.-00,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir, ESTÉRILES: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula.",Revocada,Suspensión definitiva el 02 de Agosto de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"AOC México, S.A. de C.V.",Av. Industrial No. 1000,Nueva Miravalle,25750,Monclova,Coahuila,"213300EL531412
Autorización Temporal por COVID-19",05-ago.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"AOC México, S.A. de C.V.",Av. López Mateos No. 201,La Granje,66490,San Nicolás de los Garza,Nuevo León,"213300EL531407
Autorización Temporal por COVID-19",06-ago.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"AOC México, S.A. de C.V.",Av. Solidaridad Iberoamericana No. 2060,La Duraznera,45580,La Duraznera,Jalisco,"213300CI110220
Autorización Temporal por COVID-19",13-oct.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"AOC México, S.A. de C.V.",Benito Juárez No. 714,Nuevo Progreso,89318,Támpico,Tamaulipas,"213300EL531406
Autorización Temporal por COVID-19",05-ago.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"AOC México, S.A. de C.V.",Calle 36 No. 450 Norte,Nuevo Torreón,27060,Torreón,Coahuila,"213300EL531408
Autorización Temporal por COVID-19",05-ago.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"AOC México, S.A. de C.V.",Carretera Antigua a Arteaga Libramiento Oscar Flores Tapia No. 3719,Parque Indsutrial Server,25354,Arteaga,Coahuila,05004020001,15-may.-19,"Gases: Oxígeno, Nitrógeno, Aire.",Vigente,Vigente,Ninguna,"Fabricación: Oxigeno, Nitrógeno y Aire.",223300EL531512,09-nov.-22,09-may.-25,Vigente
"AOC México, S.A. de C.V.",Carretera Panamericana No. 7447,Nuevo Hipodromo,32685,Ciudad Juárez,Chihuahua,"213300EL531409
Autorización Temporal por COVID-19",04-ago.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Aplicaciones Farmacéuticas, S.A. de C.V.",Heriberto Frías No. 1035,Del Valle,03100,Benito Juárez,D.F.,09003020004,04-abr.-12,"SEMISÓLIDOS: Crema, Gel, Pomada.",Revocada,Suspensión definitiva el 26 de octubre de 2021,"Con fundamento en
el  Artículo 380 Fracción XI de la Ley
General de Salud",N/A,N/A,N/A,N/A,N/A
"Arlex de México, S.A. de C.V.",Puerto Acapulco No. 35,Piloto,01290,Álvaro Obregón,D.F.,09001020004,15-jun.-18,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de
gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel, Óvulo, Pasta.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos.",223300EL530724,15-dic.-22,15-jun.-25,Vigente
"Arlex de México, S.A. de C.V. ""División Cefalosporinicos""",Calle Risco Lte. 2 Mz. 2,Estado de Hidalgo,01520,Álvaro Obregón,D.F.,09001020007,05-nov.-04,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas.",Revocada,Suspensión definitiva el 23 de mayo de 2022,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,Sólidos Orales,"143300EL531676,
143300EL531957",17-dic.-14,18-ene.-17,Vencido
"Armstrong Laboratorios de México,
S.A. de C.V.",Av. División del Norte No. 3311,Candelaria  Coyoacan,04380,Coyoacan,D.F.,09004020013,28-abr.-00,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Granulado polvo para reconstituir, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; LÍQUIDOS NO ORALES: Emulsión,  Solución, Suspensión; SEMISÓLIDOS: Crema, Ungüento, Gel,
Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Líquidos no orales y Semisólidos.","223300IT040519,
223300IT040524",14-dic.-22,14-jun.-25,Vigente
"Armstrong Laboratorios de México,
S.A. de C.V.",Calle 1 Sur No. 112 Int. 5-A,Parque Industrial Toluca 2000,50200,Toluca,Edo. de México,15106020022,15-oct.-19,"Sólidos Orales: tabletas o comprimidos, tabletas recubiertas, polvo y granulado.",Vigente,Vigente,Ninguna,Sólidos,223300516A1386,29-nov.-22,06-jul.-23,Vigente
"Asofarma de México, S.A. de C.V.",Calz. México Xochimilco No. 43,San Lorenzo Huipulco,14370,Tlalpan,Ciudad de México,09014020002,08-nov.-22,"SÓLIDOS: Granulado, Polvo; SÓLIDOS - CITOTÓXICOS:
Tabletas o Comprimidos.",Vigente,Vigente,Ninguna,"Sólidos, Sólidos-Citotóxicos.",213300CT110314,04-oct.-21,17-feb.-22,Vencido
"Aspen México, S. de R.L. de C.V.",Poniente 134 No. 740,Industrial Vallejo,02300,Azcapotzalco,D.F.,09002020004,13-abr.-18,"SÓLIDOS: Tabletas, Tabletas de liberación prolongada, Cápsulas de gelatina dura, Grageas; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema; SEMISÓLIDOS: Crema.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos.",203300EL530512,12-mar.-20,12-sep.-22,Vencido
"Aspid, S.A. de C.V.",Bélgica No. 518,Portales,03300,Benito Juárez,D.F.,09003020020,17-dic.-04,ESTÉRILES: Solución inyectable en frasco ámpula.,Vigente,Vigente,Ninguna,Estériles.,233300516A0082,31-ene.-23,05-ago.-23,Vigente
"Astrazeneca, S.A. de C.V.",Super Av. Lomas Verdes No. 67,Fracc. Lomas Verdes,53120,Naucalpan de Juárez,Edo. de México,15057020001,19-feb.-09,SÓLIDOS ORALES: Tabletas.,Revocada,Vigente,"Cambio de giro a Almacén de Acondicionamiento con fecha 18 de
febrero de 2022",Sólidos orales.,213300516A0888,28-jul.-21,22-feb.-22,Vencido
"Atlantis, S.A. de C.V.",Tiburcio Montiel No. 16,San Miguel Chapultepec,11850,Miguel Hidalgo,D.F.,09011020001,07-jun.-99,"SÓLIDOS ORALES: Tabletas, Comprimidos, Cápsulas de gelatina dura, Granulado, Polvo para reconstituir, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Ungüento, Gel, Óvulo, Pomada; ESTÉRILES: Parenterales de pequeño volumen solución inyectable en ampolleta, Parenterales de pequeño volumen solución inyectable en frasco ámpula, Solución oftálmica, Solución nasal.",Vigente,Suspensión temporal del 01 de marzo de 2011 al 02 de Junio de 2014,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Atlantis, S.A. de C.V.",Carr. San Bartolo Cuautlalpan No. 44,N/I,43800,Tizayuca,Hidalgo,13069020001,26-may.-05,"SÓLIDOS ORALES: Tabletas, Comprimidos, Cápsulas de gelatina dura, Granulado, Polvo para reconstituir; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada.",Revocada,Suspensión definitiva el 06 de enero de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Azteca Vacunas, S.A. de C.V.",Autopista México - Querétaro Km. 37.5,Parque Industrial Cuamatla,52730,Cuautitlan Izcalli,México,15121020004,20-may.-22,Esteriles-Biológicos (Vacunas): Sosuspensión inyectable en frasco ámpula.,Vigente,Vigente,Ninguna,Estéries-Vacunas.,223300CT110201,31-ene.-23,31-jul.-25,Vigente
"Baring Pharmaceutical Products,
S.A. de C.V.",Mayorista No. 6,Ejidos del Moral,09040,Iztapalapa,Ciudad de México,09009020017,02-mar.-16,"LÍQUIDOS: Solución, Suspensión, Jarabe.",Vigente,Vigente,Ninguna,Líquidos,CAS/SELS/7112/2020,19-jun.-20,19-dic.-22,Vencido
"Baxter, S.A. de C.V.",Av. de los 50 Metros No. 2,Civac,62578,Jiutepec,Morelos,17011020001,16-oct.-15,"LÍQUIDOS NO ORALES: Solución; ESTÉRILES:
Parenterales de pequeño volumen solución inyectable, Parenterales de gran volumen solución inyectable.",Vigente,Vigente,Ninguna,Líquidos; Estériles.,223300516A1314,07-nov.-22,20-mar.-23,Vencido
"Bayer de México, S.A. de C.V.",Av. Reforma No. 26,El Potrerillo,94450,Ixtaczoquitlán,Veracruz,30085020001,31-ago.-22,"SEMISÓLIDOS: Supositorio, Crema, Óvulo; ESTÉRILES HORMONALES: Solución inyectable en ampolleta, Solución inyectable en jeringa.",Vigente,Vigente,Ninguna,"Semisólidos, Estériles-Hormonales.",COFEPRIS-CAS-SELS-3899- 2022,04-abr.-22,02-feb.-24,Vencido
"Bayer de México, S.A. de C.V.",Miguel de Cervantes Saavedra No. 259,Granada,11520,Miguel Hidalgo,D.F.,09011020004,31-oct.-06,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas masticables, Cápsulas de gelatina dura, Polvo para reconstituir; SÓLIDOS NO ORALES: Polvo tópico, Tabletas vaginales; LÍQUIDOS ORALES: Suspensión, Jarabe; SEMISÓLIDOS: Crema Ungüento; SÓLIDOS ORALES BETALACTÁMICOS:
Cápsulas, Comprimidos, Polvo para suspensión",Revocada,Suspensión definitiva el 25 de mayo 2017 de 2022,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Bayer de México, S.A. de C.V.",Carr. México-Toluca KM 52.5,N/I,52000,Lerma,Edo. de México,15051020002,27-9-,"SÓLIDOS: Tabletas o comprimidos, Tabletas
efervescentes.",Vigente,Vigente,Ninguna,SÓLIDOS,233300516A0359,04-abr.-23,29-oct.-23,Vigente
"Beckman Laboratories de México,
S.A. de C.V.",Dr. Barragán No. 531,Narvarte,03020,Benito Juárez,D.F.,09003020011,30-abr.-09,LÍQUIDOS ORALES: Solución.,Revocada,Suspensión definitiva el 7 de Agosto de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Berman Laboratorios, S.A. de C.V.",Laboratoristas No. 46,El Sifón,09400,Iztapalapa,D.F.,09009020004,27-ene.-00,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe;  ESTÉRILES: Solución inyectable en ampolleta, Polvo para Suspensión inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Suspensión de trabajos y servicios / Suspensión temporal del 11/12/2017 al 11/06/2018,"Con fundamento en los Artículos 402, 404,
412 y 414 de la Ley General de Salud / Con fundamento en el Artículo 202 de la Ley General de Salud",N/A,N/A,N/A,N/A,N/A
"Biofarma Natural CMD, S.A. de C.V.",Industria Hulera No. 97,Fraccionamiento Industrial Zapopan Norte,45130,Zapopan,Jalisco,14120020008,17-oct.-16,"SÓLIDOS: Tabletas, Comprimidos, Cápsulas de gelatina dura, Grageas; LÍQUIDOS: Solución, Suspensión, Jarabe; SÓLIDOS HERBOLARIOS: Tabletas, Comprimidos, Cápsulas de gelatina dura, Grajeas; LÍQUIDOS HERBOLARIOS: Solución, Suspensiíon, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos, Sólidos Herbolarios, Líquidos, Líquidos Herbolarios.",213300EL530409,14-abr.-21,14-oct.-23,Vigente
"Biomep, S.A. de C.V.",Av. San Luis Tlatilco No. 12,Parque Industrial Naucalpan,53470,Naucalpan de Juárez,Edo. de México,15057020010,29-ago.-07,"SÓLIDOS ORALES: Tabletas recubiertas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema, Ungüento.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos.",133300IT011351,03-dic.-13,28-dic.-15,Vencido
"Biomep, S.A. de C.V.",Urbina No. 15,Parque Industrial Naucalpan,53470,Naucalpan de Juárez,Edo. de México,15057020011,07-nov.-22,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos.,233300CI110023,07-mar.-23,12-jul.-25,Vigente
"Bionova Laboratorios, S.A. de C.V.",Dr. Roberto Michel No. 2575,Parque Industrial el Álamo,44490,Guadalajara,Jalisco,14039020018,25-ene.-18,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura; SEMISÓLIDOS: Crema, Ungüento, Gel.",Vigente,Vigente,Ninguna,Sólidos orales y Semisólidos.,223300CI110263,10-nov.-22,29-ene.-25,Vigente
"Biopharm, S.A. de C.V.",7a Oriente No. 10,Isidro Fabela,14030,Tlalpan,D.F.,09014020012,22-jul.-20,"SÓLIDOS ORALES: Tabletas o Comprimidos, Tabletas recubiertas,  Polvo.",Vigente,Vigente,Ninguna,Sólidos Orales.,223300EL531919,25-nov.-22,28-jul.-23,Vigente
"Biopharmex, S.A. de C.V.",Av. Ceylan No. 959 B 15 BIS,Industrial Vallejo,02300,Azcapotzalco,D.F.,09002030001,11-nov.-03,LÍQUIDOS ORALES: Solución.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Bioresearch de México, S.A. de C.V.",Av. Río Totolica No. 15-A,Fracc. Industrial Naucalpan,53370,Naucalpan de Juárez,Edo. de México,15057020009,07-oct.-09,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes y/o solubles, Cápsulas de gelatina dura, Polvo para reconstituir; SÓLIDOS NO ORALES: Tabletas vaginales; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Óvulo, Pomada.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos no orales, Líquidos orales, Semisólidos.","213300CI110262,
213300EL532198",19-nov.-21,15-abr.-24,Vigente
"Boehringer Ingelheim Promeco,
S.A. de C.V.",Calle del Maíz No. 49,Barrio Xaltocan,16090,Xochimilco,D.F.,09016020002,02-sep.-22,"SÓLIDOS: Tabletas o comprimidos, Cápsulas de gelatina dura, Tabletas recubiertas.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Líquidos no orales.",223300516A1433,10-ene.-23,22-jul.-23,Vigente
"Bomuca, S.A. de C.V.",Av. de los Pollos No. 26-C,Fracc. Sandoval,22450,Tijuana,Baja California,02004020003,07-dic.-01,SÓLIDOS ORALES: Cápsulas de gelatina dura.,Vigente,"Suspensión del 10 de diciembre de 2021 al 31 de
diciembre de 2022",Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Bonarum Pharma, S.A. de C.V.",Km. 19.5 Antigua Carretera México-Puebla,Los Reyes Acaquilpan,56400,La Paz,Edo. de México,15070020002,09-mar.-11,"LÍQUIDOS ORALES: Solucion, Suspensión, Jarabe, Emulsión; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Óvulo, Pomada; ESTÉRILES: Solución inyectable en frasco ámpula, Parenterales de P.V. solución inyectable en ampolleta de vidrio, Solución oftálmica, Solución ótica, Solución nasal; SEMISÓLIDOS HORMONALES: Supositorios, Crema, Ungüento, Óvulo, Pomada.",Vigente,Suspensión del área de hormonales desde el 04 de abril de 2016,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Bristol Myers Squibb de México, S.de R.L. de C.V.",Av. Revolución No. 1267,Tlacopac,01049,Álvaro Obregón,D.F.,09001020003,13-sep.-04,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir; ESTÉRILES: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Bruluagsa, S.A. de C.V.",Ing. Salvador Sánchez Colín No. 10043,Atlacomulco,50458,Atlacomulco,Edo. de México,15014020002,11-ago.-14,"SÓLIDOS ORALES: Tabletas, Tableta recubierta, Comprimidos, Cápsulas de gelatina dura; SÓLIDOS ORALES BETALACTÁMICOS: Tableta, Tableta recubierta, Comprimidos, Cápsula de gelatina dura, Polvo para reconstituir; SÓLIDOS ORALES CEFALOSPORÍNICOS: Tableta, Tableta recubierta, Comprimido, Cápsula de gelatina dura, Polvo para reconstituir; ESTÉRILES CEFALOSPORÍNICOS: Polvo para solución inyectable en frasco ámpula.",Vigente,Vigente,ninguna,"Sólidos orales, Sólidos orales Betalactámicos, Sólidos orales Cefalosporínicos.",213300516A0695,18-jun.-21,22-dic.-21,Vencido
"Buffington's de México, S.A. de C.V.",José Ma. Rico No. 317,Del Valle,03100,Benito Juárez,Ciudad de México,09003020014,04-dic.-17,"SÓLIDOS: Tabletas, Cápsulas de Gelatina dura.",Vigente,Suspensión de trabajos y servicios,"Con fundamento en los Artículos 402, 404,
412 y 414 de la Ley General de Salud",N/A,N/A,N/A,N/A,N/A
"Centro Internacional de Cosmiatría,
S.A.P.I. de C.V.",Eje Norte-Sur No. 11,Nuevo Parque Industrial,76809,San Juan del Río,Querétaro,22016020006,07-abr.-16,"SEMISÓLIDOS: Gel, Crema, Ungüento; SÓLIDOS: Cápsulas de gelatina dura; LÍQUIDOS: Solución, loción, Suspensión, Emulsión.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisóidos",223300EL531936,25-abr.-23,25-oct.-25,Vigente
"Challa Laboratorios, S.A. de C.V.",Los Angeles No. 22,Corpus Cristi,01530,Álvaro Obregón,D.F.,09001020009,10-feb.-11,SÓLIDOS ORALES:  Tabletas.,Vigente,Suspensión de trabajos y servicios del 01 de mayo de 2018 al 31 de octubre de 2022,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Comercializadora Farmacéutica MD, S.A. de C.V.",Sur 73 No. 426,Justo Sierra,09460,Iztapalapa,Ciudad de México,09009020019,13-ago.-19,"LÍQUIDOS: Elixir, Emulsión, Jarabe, Solución, Suspensión; SEMISÓLIDOS: Crema, Gel, Jalea,Pasta, Ungüento, Pomada.",Vigente,Vigente,Ninguna,Semisólidos y Líquidos,COFEPRIS-CAS-SELS-9585- 2022,15-jul.-22,15-ene.-25,Vigente
"Compañía Internacional de Comercio, S.A.P.I. de C.V.",Monzón No. 184,Cerro de la Estrella,09860,Iztapalapa,D.F.,09009020015,15-feb.-18,"SÓLIDOS: Polvo tópico; SEMISÓLIDOS: Crema, Ungüento, Gel, Pasta.",Vigente,Vigente,Ninguna,"Sólidos, Semisólidos.",COFEPRIS-CAS-SELS-2086- 2022,16-feb.-22,16-ago.-24,Vigente
"Consupharma, S.A. de C.V.",Gustavo Baz No. 110,San Pedro Barrientos,54010,"Tlalnepantla de
Baz",Edo. de México,15104020003,25-nov.-06,"SEMISÓLIDOS: Crema, Ungüento.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Criogas, S.A. de C.V.","Boulevard Gómez Morín No.
3842,",Los Magueyes,78100,San Luis Potosí,San Luis Potosí,"213300EL531648
Temporal por",20-ago.-21,Gases Medicinales: Oxígeno,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Criogas, S.A. de C.V.","Carretera Mérida-Umán Km.
3.8, Int. 2,","Ampliación Ciudad
Industrial Umán,",97390,Umán,Yucatán,"213300EL531623
Temporal por",17-ago.-21,Gases Medicinales: Llenado de Oxígeno medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Criogas, S.A. de C.V.","Carretera a Villa de
Tezontepec Km 5.5 No. 3, Int.",Parque Industrial Platah,43880,"Villa de
Tezontepec",Hidalgo,"213300EL531624
Temporal por",17-ago.-21,Gases Medicinales: Llenado de Oxígeno medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Criogas, S.A. de C.V.","Carretera Federal Silao-León
Km. 1  Int.1",Pedro Bustamante Silao,36128,Silao,Guanajuato,11037050001,04-jun.-19,Gases: Llenado de Oxígeno medicinal,Vigente,Vigente,Ninguna,"Gases Medicinales: Oxígeno
Medicinal",213300516A0264,09-mar.-21,09-sep.-23,Vigente
"Criogas, S.A. de C.V.","Km. 321, S/N, Int. 2",Centro,94450,Ixtaczoquitlan,Veracruz,30085020002,31-mar.-16,GASES: Oxígeno,Vigente,Vigente,Ninguna,"Gases Medicinales: Oxígeno
Medicinal",213300CT110344,13-oct.-21,31-may.-22,Vencido
Cryoinfra del Norte,Eje Vial Juan Gabriel No. 4450 Int. 1,El vergel,32658,Juárez,Chihuahua,213300CT110156,09-abr.-21,GASES MEDICINALES: OXÍGENO MEDICINAL,"Vigente
hasta que se levante la Emergencia",Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Cryoinfra, S.A. de C.V.",Acceso III No. 20,Fraccionamiento Industrial Benito Juárez,76120,Querétaro,Querétaro,22014020007,07-sep.-16,Gases - Oxígeno medicinal,Vigente,Vigente,Ninguna,Gases Medicinales: Oxigeno medicnal,CAS/SELS/1319/2021,27-ene.-21,27-jul.-23,Vigente
